SPRING SEMESTER 2014|||||||||||
|||||||||||
Section Name|Min Cred|Max Cred|Short Title|Faculty first name|Faculty Last Names (all faculty)|Building|Room|Start Time|End Time|Days|7 Wks
CHEM-152-B|4||Chemical Principles II|Bradley|Chamberlain|OLIN|102|12:15PM|01:15PM|MWF|
CHEM-152L-01|0||Chemical Principles II Lab|Claude|Mertzenich|SAMP|372|01:30PM|04:30PM|M|
CHEM-152L-02|0||Chemical Principles II Lab|Alisa|Winsauer|SAMP|372|11:00AM|02:00PM|T|
CHEM-152L-03|0||Chemical Principles II Lab|Alisa|Winsauer|SAMP|372|02:45PM|05:45PM|T|
CHEM-152L-04|0||Chemical Principles II Lab|Robyn|Ovans|SAMP|233|02:45PM|05:45PM|T|
CHEM-152L-05|0||Chemical Principles II Lab|Claude|Mertzenich|SAMP|372|02:45PM|05:45PM|W|
CHEM-152L-06|0||Chemical Principles II Lab|Alisa|Winsauer|SAMP|372|11:00AM|02:00PM|R|
CHEM-152L-07|0||Chemical Principles II Lab|John|Jefferson|SAMP|372|02:45PM|05:45PM|R|
CHEM-202-A|4||Analytical Chemistry|John|Hedstrom|VALD|362|09:15AM|10:15AM|MWF|
CHEM-202L-A01|0||Analytical Chemistry Lab|John|Hedstrom|SAMP|331|12:45PM|03:45PM|T|
CHEM-202L-A02|0||Analytical Chemistry Lab|John|Hedstrom|SAMP|331|11:00AM|02:00PM|R|
CHEM-202L-A03|0||Analytical Chemistry Lab|John|Hedstrom|SAMP|331|02:45PM|05:45PM|R|
CHEM-242-A|4||Organic Chemistry II|Bradley|Chamberlain|VALD|362|08:00AM|09:00AM|MWF|
CHEM-242-B|4||Organic Chemistry II|Olga|Rinco|VALD|262|12:15PM|01:15PM|MWF|
CHEM-242L-01|0||Organic Chem II Lab|Robyn|Ovans|SAMP|357|11:00AM|02:00PM|T|
CHEM-242L-02|0||Organic Chem II Lab|Olga|Rinco|SAMP|357|02:45PM|05:45PM|T|
CHEM-242L-03|0||Organic Chem II Lab|Robyn|Ovans|SAMP|357|02:45PM|05:45PM|W|
CHEM-242L-04|0||Organic Chem II Lab|Bradley|Chamberlain|SAMP|357|11:00AM|02:00PM|R|
CHEM-242L-05|0||Organic Chem II Lab|Robyn|Ovans|SAMP|357|02:45PM|05:45PM|R|
CHEM-295-A|1|4|Directed Study|Laura|Peterson|ARR|ARR||||
CHEM-301-A|4||Biochemistry I|John|Jefferson|VALD|362|01:30PM|02:30PM|MWF|
CHEM-361-A|4||Quantum Chemistry & Spectrosco|Carolyn|Mottley|VALD|367|11:00AM|12:00PM|MWF|
CHEM-365-A|2||Spectroscopy & Separation Lab|Carolyn|Mottley|SAMP|334|12:45PM|03:45PM|TR|
CHEM-474-A|2||Physical Inorganic Chemistry|Claude|Mertzenich|SAMP|232|08:00AM|09:00AM|MWF|
CHEM-490-A|2||Senior Project|Carolyn|Mottley|VALD|262|05:30PM|06:30PM|M|
CHEM-493-A|4||Senior Honors Project|Bradley|Chamberlain|ARR|ARR||||
CHIN-102-A|4||Beginning Chinese II|Hongmei|Yu|MAIN|218|11:00AM|12:00PM|MWF|
CHIN-202-A|4||Intermediate Chinese|Hongmei|Yu|MAIN|218|01:30PM|02:30PM|MWF|
CHIN-395-A|1|4|Independent Study|Hongmei|Yu|ARR|ARR||||
CLAS-240-A|4||Classical Mythology|Danny|Davis|MAIN|113|11:00AM|12:30PM|TR|
CLAS-255-A|4||Ancient Roman Culture|Philip|Freeman|ARR|ARR||||
CLAS-275-A|4||Archaeology of Ancient Rome|Danny|Davis|MAIN|113|02:30PM|04:00PM|TR|
CLAS-300-A|4||Classics and Culture|Philip|Freeman|MAIN|116A|11:00AM|12:00PM|MWF|
CLAS-490-A|4||Senior Project|Philip|Freeman,Davis|ARR|ARR||||
CLAS-493-A|4||Senior Honors Project|Danny|Davis|ARR|ARR||||
COMS-130-A|4||Intro to Interpersonal Comm|Sarah|Wilder|MAIN|116B|09:15AM|10:15AM|MWF|
COMS-132-A|4||Public Address|Kimberly|Powell|MAIN|116B|08:00AM|09:30AM|TR|
COMS-132-B|4||Public Address|Derek|Sweet|MAIN|116B|02:45PM|03:45PM|MWF|
COMS-133-A|4||Intro to Mass Media|Mark|Johns|VALD|252|11:00AM|12:00PM|MWF|
COMS-233-A|4||Rhetoric of Spirituality|Derek|Sweet|MAIN|116B|01:30PM|02:30PM|MWF|
COMS-236-A|4||Small Group Communication|Sarah|Wilder|MAIN|116B|12:15PM|01:15PM|MWF|
COMS-246-A|4||The Internet and American Life|Mark|Johns|MAIN|113|09:15AM|10:15AM|MWF|
COMS-247-A|4||Electronic News Gathering|Mark|Johns|PREU|100|12:45PM|02:15PM|TR|
COMS-320-A|4||Urb Amer and Serial Television|Thomas|Johnson|VALD|252|06:00PM|09:00PM|M|
COMS-342-A|4||Feminist Rhetorical Theories|Kimberly|Powell|MAIN|116B|12:45PM|02:15PM|TR|
COMS-347-A|4||Critical Television Studies|Thomas|Johnson|VALD|252|02:30PM|04:00PM|TR|
COMS-357-A|4||Research Methods|Kimberly|Powell|MAIN|116B|11:00AM|12:30PM|TR|
COMS-375-A|1|4|Directed Readings|Mark|Johns|ARR|ARR||||
COMS-380-A|1|4|Internship|Kimberly|Powell|ARR|ARR||||
COMS-490-A|2||Senior Project|Kimberly|Powell|ARR|ARR||||
COMS-493-A|4||Senior Honors Project|Kimberly|Powell|ARR|ARR||||
CS-150-A|4||Intro to Computer Sci I|David|Ranum|OLIN|202|09:15AM|10:15AM|MWF|
CS-150-B|4||Intro to Computer Sci I|David|Ranum|OLIN|202|01:30PM|02:30PM|MWF|
CS-151-A|4||Intro to Comp Sci II|Steven|Hubbard|OLIN|112|09:15AM|10:15AM|MWF|
CS-151-B|4||Intro to Comp Sci II|David|Ranum|ARR|ARR||||
CS-200-A|4||Software & Design Development|Bradley|Miller|OLIN|202|12:45PM|02:15PM|TR|
CS-220-A|4||Discrete Structures|Steven|Hubbard|OLIN|106|11:00AM|12:00PM|MWF|
CS-220-B|4||Discrete Structures|Steven|Hubbard|OLIN|112|01:30PM|02:30PM|MWF|
CS-251-A|4||Programming Languages|Kent|Lee|OLIN|202|11:00AM|12:00PM|MWF|
CS-351-A|4||Adv Data Struct & Algorithms|Kent|Lee|ARR|ARR||||
CS-365-A|4||Internet Programming|Bradley|Miller|OLIN|202|12:15PM|01:15PM|MWF|
CS-395-A|2||Independent Study|Bradley|Miller|ARR|ARR||||
CS-441-A|4||Operating Systems|David|Ranum|OLIN|112|11:00AM|12:30PM|TR|
CS-491-A|2||Senior Project|Bradley|Miller|OLIN|112|02:30PM|04:00PM|TR|
DAN-100-A|0||Prod Pract:LaDispute|Robert|Vrtis,Lantz,Mayer|ARR|ARR||||
DAN-100-B|0||Prod Pract:Highway 57|Blake|Nellis,Lantz,Moore|ARR|ARR||||
DAN-101-A|4||Dance Tech Analysis|Jane|Hawley|ARR|ARR||||
DAN-130-A|4||Contact Improvisation|Blake|Nellis|CART|121|12:45PM|02:15PM|TR|
DAN-199-A|0||Dance Synthesis||||||||
DAN-205-A|4||Mvmt Fund II:Prac Range Eff|Jane|Hawley|CART|121|08:30AM|10:15AM|MWF|
DAN-264-A|4||Perf Res:Happenings Course|Jane|Hawley|CART|121|12:15PM|01:15PM|MWF|
DAN-491-A|2||Senior Project|Jane|Hawley|ARR|ARR||||
ECON-130-A|4||Principles of Economics|Charles|Gomersall|OLIN|107|09:15AM|10:15AM|MWF|
ECON-130-B|4||Principles of Economics|Charles|Gomersall|OLIN|107|11:00AM|12:00PM|MWF|
ECON-142-A|4||Economic Numeracy|Wade|Shilts|OLIN|207|01:30PM|02:30PM|MWF|
ECON-248-A|4||Interm Economic Theory:Micro|Steven|Holland|OLIN|107|08:00AM|09:00AM|MWF|
ECON-255-A|4||Environmental Economics|Steven|Holland|OLIN|101|12:45PM|02:15PM|TR|
ECON-268-A|4||Law and Economics|Steven|Holland|OLIN|101|08:00AM|09:30AM|TR|
ECON-295-A|1|4|Directed Study|Steven|Holland|ARR|ARR||||
ECON-339-A|4||ST:Econ Info Future Higher Ed|Wade|Shilts|VALD|242|11:00AM|12:00PM|MWF|
ECON-366-A|4||Public Finance|Charles|Gomersall|VALD|268|01:30PM|02:30PM|MWF|
ECON-380-A|1|4|Internship|Steven|Holland|ARR|ARR||||
ECON-380-B|4||Internship|Timothy|Schweizer|ARR|ARR||||
ECON-490-A|4||Senior Project|Wade|Shilts|OLIN|348|02:30PM|04:00PM|TR|
EDUC-217-A|2||Intro to Music Education|Billy|Fordice|KORE|120|05:00PM|06:30PM|M|
EDUC-217-B|2||Intro to Music Education|Billy|Fordice|KORE|120|06:30PM|08:00PM|M|
EDUC-220-A|4||Educational Psychology|Douglas|Knick|KORE|120|08:00AM|09:30AM|TR|
EDUC-220-B|4||Educational Psychology|Deborah|Norland|KORE|216|09:15AM|10:15AM|MWF|
EDUC-221-A|4||Diverse & Exceptional Learner|Douglas|Knick|OLIN|108|11:00AM|12:30PM|TR|
EDUC-221-B|4||Diverse & Exceptional Learner|Jeannette|Pillsbury|KORE|217|08:00AM|09:30AM|TR|
EDUC-222-A|4||Instruct Strategies Comp Apps|Jodi|Meyer-Mork|KORE|216|11:00AM|12:00PM|MWF|
EDUC-222-B|4||Instruct Strategies Comp Apps|Jodi|Meyer-Mork|KORE|117|01:30PM|02:30PM|MWF|
EDUC-223-A|2||Children's Literature|Deborah|Norland|PREU|CURR|02:30PM|04:00PM|TR|First 7 weeks
EDUC-240-A|2||Home, School, Community|Odette|Bruneau|ARR|ARR||||
EDUC-246-A|4||Classroom Mgt & Collaboration|Odette|Bruneau|PREU|CURR|11:00AM|12:00PM|MWF|
EDUC-252-A|2||Intro Middle/HS 5-12 Methods|Douglas|Knick|LARS|120|12:45PM|02:15PM|T|
EDUC-255-A|2||Percussion Methods|Michael|Geary|JENS|SPER|12:45PM|02:15PM|T|
EDUC-260-A|2||Brass Methods|Michael|Smith,Shaffer,Cord|JENS|SPER|01:30PM|02:30PM|MWF|
