Fall 2014 courses|||||||||||
|||||||||||
Section Name|Min Cred|Max Cred|Short Title|Faculty First Name|Faculty Last Names (all faculty)|Building|Room|Start Time|End Time|Days|7 Wks
CHEM-151L-06|0||Chemical Principles I Lab|Robyn|Ovans|SAMP|372|02:45PM|04:45PM|W|
CHEM-151L-07|0||Chemical Principles I Lab|Alisa|Winsauer|SAMP|372|07:30AM|09:30AM|R|
CHEM-151L-08|0||Chemical Principles I Lab|Claude|Mertzenich|SAMP|372|11:30AM|01:30PM|R|
CHEM-151L-09|0||Chemical Principles I Lab|John|Jefferson|SAMP|233|01:15PM|03:15PM|R|
CHEM-151L-10|0||Chemical Principles I Lab|Robyn|Ovans|SAMP|372|02:30PM|04:30PM|R|
CHEM-201-A|4||Advanced Chemical Principles|Carolyn|Mottley|VALD|262|08:00AM|09:00AM|MWF|
CHEM-201L-01|0||Advanced Chemical Prin Lab|John|Hedstrom|SAMP|331|11:00AM|02:00PM|T|
CHEM-201L-02|0||Advanced Chemical Prin Lab|Alisa|Winsauer|SAMP|331|11:00AM|02:00PM|R|
CHEM-201L-03|0||Advanced Chemical Prin Lab|John|Hedstrom|SAMP|331|02:45PM|05:45PM|R|
CHEM-241-A|4||Organic Chemistry I|Bradley|Chamberlain|VALD|262|09:15AM|10:15AM|MWF|
CHEM-241-B|4||Organic Chemistry I|Olga|Rinco|VALD|262|12:15PM|01:15PM|MWF|
CHEM-241L-01|0||Organic Chem I Lab|Bradley|Chamberlain|SAMP|357|11:00AM|02:00PM|T|
CHEM-241L-02|0||Organic Chem I Lab|Robyn|Ovans|SAMP|357|02:45PM|05:45PM|M|
CHEM-241L-03|0||Organic Chem I Lab|Bradley|Chamberlain|SAMP|357|01:30PM|04:30PM|W|
CHEM-241L-04|0||Organic Chem I Lab|Robyn|Ovans|SAMP|357|11:00AM|02:00PM|R|
CHEM-241L-05|0||Organic Chem I Lab|Olga|Rinco|SAMP|357|02:30PM|05:30PM|R|
CHEM-344-A|2||Instr Methods: Spectro Tech|John|Hedstrom|VALD|369|12:15PM|01:15PM|MWF|First 7 weeks
CHEM-345-A|2||Instr Methods: Separation/Elec|John|Hedstrom|VALD|369|12:15PM|01:15PM|MWF|Second 7 weeks
CHEM-351-A|2||Chemical Kinetics|Carolyn|Mottley|VALD|369|11:00AM|12:00PM|MWF|First 7 weeks
CHEM-362-A|2||Thermodynamics|Carolyn|Mottley|VALD|369|11:00AM|12:00PM|MWF|Second 7 weeks
CHEM-365-A|2||Spectroscopy & Separation Lab|John|Hedstrom|SAMP|334|01:30PM|04:30PM|MW|
CHEM-366-A|2||Thermodynamics & Kinetics Lab|Carolyn|Mottley|SAMP|334|12:45PM|03:45PM|TR|
CHEM-473-A|2||Inorganic Chem:Sol St Bioinor|Claude|Mertzenich|SAMP|232|08:00AM|09:00AM|MWF|First 7 weeks
